DateTime,V,VX,VY,DIR,TP,RH,SLP
2018-03-07-02:00:00,1.12534,-0.662,0.82719,141.32965,271.93704,50.11706,1027.90564
2018-03-07-03:00:00,1.21074,-0.54283,1.08223,153.36238,273.15143,51.44431,1027.29309
2018-03-07-04:00:00,1.47798,-0.36086,1.39231,165.46971,274.05563,49.91306,1026.14307
2018-03-07-05:00:00,1.74522,-0.17889,1.70238,174.00128,274.95981,48.38181,1024.99316
2018-03-07-06:00:00,2.01245,0.00308,2.01245,180.08775,275.86401,46.85057,1023.84314
2018-03-07-07:00:00,1.6838,-0.1072,1.66589,176.31798,276.06345,48.13079,1023.56085
2018-03-07-08:00:00,1.35515,-0.21749,1.31932,170.63904,276.26285,49.41101,1023.27856
2018-03-07-09:00:00,1.02649,-0.32777,0.97276,161.37856,276.46228,50.69123,1022.99628
2018-03-07-10:00:00,1.58523,-0.27484,-0.25064,47.63705,275.01297,56.20587,1024.2981
2018-03-07-11:00:00,2.14398,-0.22191,-1.47403,8.56128,273.56366,61.72051,1025.59998
2018-03-07-12:00:00,2.70272,-0.16898,-2.69743,3.58449,272.11435,67.23515,1026.90186
2018-03-07-13:00:00,2.74559,0.04374,-2.72902,359.08185,271.79691,66.72825,1028.02942
2018-03-07-14:00:00,2.78846,0.25645,-2.7606,354.69269,271.47943,66.22136,1029.15686
2018-03-07-15:00:00,2.83133,0.46916,-2.79219,350.46191,271.16199,65.71446,1030.28442
2018-03-07-16:00:00,2.78124,-0.16579,-2.61622,3.6259,271.08359,58.91636,1031.01965
2018-03-07-17:00:00,2.73116,-0.80074,-2.44025,18.16656,271.00516,52.11826,1031.75476
2018-03-07-18:00:00,2.68107,-1.43568,-2.26427,32.37712,270.92676,45.32016,1032.48999
2018-03-07-19:00:00,2.90844,-1.91683,-2.08895,42.53964,270.56836,45.35371,1032.724
2018-03-07-20:00:00,3.13581,-2.39797,-1.91362,51.40955,270.20999,45.38727,1032.95789
2018-03-07-21:00:00,3.36318,-2.87912,-1.7383,58.87809,269.85159,45.42082,1033.19189
2018-03-07-22:00:00,3.21453,-2.63845,-1.81351,55.49773,270.41071,41.12979,1033.87683
2018-03-07-23:00:00,3.06587,-2.39778,-1.88872,51.77263,270.96985,36.83876,1034.56189
2018-03-08-00:00:00,1.78193,-1.34062,-1.17389,48.79361,270.80939,35.6164,1035.60315
2018-03-08-01:00:00,1.67831,-1.17396,-0.38019,72.05533,272.77332,31.10918,1035.42456
2018-03-08-02:00:00,1.57468,-1.00729,0.41351,112.31918,274.73721,26.60197,1035.24609
2018-03-08-03:00:00,1.47106,-0.84062,1.20721,145.14926,276.70114,22.09476,1035.0675
2018-03-08-04:00:00,2.06653,-0.43125,1.88292,167.09995,277.20596,22.87425,1034.03503
2018-03-08-05:00:00,2.662,-0.02188,2.55863,179.51013,277.71075,23.65375,1033.00244
2018-03-08-06:00:00,3.25747,0.3875,3.23434,186.83186,278.21558,24.43324,1031.96997
2018-03-08-07:00:00,3.45508,0.74175,3.34513,192.50249,278.08954,25.98619,1031.22974
2018-03-08-08:00:00,3.65268,1.096,3.45592,197.59579,277.96353,27.53915,1030.48962
2018-03-08-09:00:00,3.85028,1.45026,3.56671,202.12709,277.83749,29.0921,1029.74939
2018-03-08-10:00:00,3.58334,0.92442,3.39341,195.23851,276.06424,34.20763,1029.87524
2018-03-08-11:00:00,3.3164,0.39858,3.2201,187.05609,274.29095,39.32317,1030.00098
2018-03-08-12:00:00,3.04946,-0.12726,3.0468,177.60825,272.5177,44.4387,1030.12683
2018-03-08-13:00:00,2.91216,-0.3951,2.85382,172.11774,272.0076,45.96955,1030.14038
2018-03-08-14:00:00,2.77486,-0.66294,2.66084,166.00975,271.49747,47.50041,1030.15393
2018-03-08-15:00:00,2.63756,-0.93078,2.46786,159.33548,270.98737,49.03127,1030.16748
2018-03-08-16:00:00,2.41342,-1.13008,2.05686,151.21466,270.08273,52.47087,1029.89807
2018-03-08-17:00:00,2.18928,-1.32939,1.64586,141.07169,269.1781,55.91049,1029.62878
2018-03-08-18:00:00,1.96514,-1.52869,1.23486,128.93098,268.27347,59.3501,1029.35938
2018-03-08-19:00:00,1.87804,-1.57811,0.92373,120.34194,267.99136,58.89057,1028.81079
2018-03-08-20:00:00,1.79094,-1.62754,0.61259,110.62583,267.70926,58.43104,1028.26233
2018-03-08-21:00:00,1.70384,-1.67696,0.30145,100.1907,267.42715,57.97151,1027.71375
2018-03-08-22:00:00,1.41189,-1.38835,0.14552,95.98374,268.25314,54.28026,1027.56018
2018-03-08-23:00:00,1.11994,-1.09973,-0.01041,89.45782,269.07916,50.58901,1027.40674
2018-03-09-00:00:00,0.80066,-0.67456,-0.43132,57.40462,270.07513,47.16647,1026.69629
2018-03-09-01:00:00,1.28493,-0.39001,0.46123,139.78281,272.11539,45.17545,1025.85083
2018-03-09-02:00:00,1.7692,-0.10546,1.35379,175.54559,274.15567,43.18444,1025.00549
2018-03-09-03:00:00,2.25347,0.17909,2.24634,184.5582,276.19592,41.19342,1024.16003
2018-03-09-04:00:00,2.6911,0.39975,2.65281,188.56949,277.88022,39.8965,1022.52441
2018-03-09-05:00:00,3.12873,0.62042,3.05929,191.46411,279.56448,38.59958,1020.88873
2018-03-09-06:00:00,3.56636,0.84109,3.46576,193.64116,281.24878,37.30267,1019.25311
2018-03-09-07:00:00,3.27985,0.71433,3.19962,192.58519,281.37527,38.40566,1018.47418
2018-03-09-08:00:00,2.99335,0.58757,2.93347,191.32639,281.50174,39.50865,1017.69519
2018-03-09-09:00:00,2.70684,0.46081,2.66733,189.80171,281.62823,40.61164,1016.91626
2018-03-09-10:00:00,2.37362,-0.11453,2.16028,176.96519,280.64136,43.58627,1017.04791
2018-03-09-11:00:00,2.04041,-0.68987,1.65323,157.34979,279.65448,46.5609,1017.17963
2018-03-09-12:00:00,1.70719,-1.26521,1.14618,132.17397,278.6676,49.53553,1017.31128
2018-03-09-13:00:00,1.89022,-0.80726,0.01289,90.91505,276.16656,60.81332,1017.51147
2018-03-09-14:00:00,2.07326,-0.3493,-1.12039,17.31557,273.6655,72.09113,1017.71167
2018-03-09-15:00:00,2.2563,0.10866,-2.25368,357.23965,271.16446,83.36892,1017.91187
2018-03-09-16:00:00,2.17784,0.02139,-2.17415,359.43628,271.28616,82.13943,1018.1806
2018-03-09-17:00:00,2.09938,-0.06588,-2.09463,1.80132,271.40784,80.90994,1018.4494
2018-03-09-18:00:00,2.02092,-0.15314,-2.01511,4.34595,271.52954,79.68046,1018.71814
2018-03-09-19:00:00,2.13491,-0.16038,-2.12888,4.30814,271.80856,77.63593,1019.13647
2018-03-09-20:00:00,2.2489,-0.16761,-2.24265,4.27415,272.08762,75.59142,1019.55481
2018-03-09-21:00:00,2.36289,-0.17484,-2.35641,4.24344,272.36664,73.54689,1019.97314
2018-03-09-22:00:00,2.61575,-0.33285,-2.5887,7.32672,273.33032,66.29768,1020.86627
2018-03-09-23:00:00,2.8686,-0.49086,-2.82098,9.87071,274.29404,59.04846,1021.7594
2018-03-10-00:00:00,2.80892,-0.19524,-2.80212,3.9857,275.56067,52.42102,1022.63251
2018-03-10-01:00:00,2.79667,-0.90953,-1.37162,33.54845,278.2291,45.37456,1023.1344
2018-03-10-02:00:00,2.78442,-1.62381,0.05888,92.07659,280.89752,38.32811,1023.63629
2018-03-10-03:00:00,2.77217,-2.3381,1.48938,122.49735,283.56595,31.28165,1024.13818
2018-03-10-04:00:00,2.95409,-1.84097,2.06227,138.24507,284.46301,29.84375,1023.58569
2018-03-10-05:00:00,3.136,-1.34384,2.63516,152.98009,285.36008,28.40585,1023.03314
2018-03-10-06:00:00,3.31791,-0.84671,3.20805,165.215,286.25714,26.96795,1022.48065
2018-03-10-07:00:00,3.62511,-0.55009,3.5518,171.19612,285.76157,28.09393,1022.27399
2018-03-10-08:00:00,3.93231,-0.25348,3.89555,176.27702,285.26596,29.21991,1022.06726
2018-03-10-09:00:00,4.23951,0.04313,4.2393,180.5829,284.77039,30.34588,1021.8606
2018-03-10-10:00:00,3.94632,-0.01116,3.94546,179.83797,282.25211,33.39247,1022.81226
2018-03-10-11:00:00,3.65313,-0.06545,3.65163,178.97324,279.7338,36.43906,1023.76392
2018-03-10-12:00:00,3.35993,-0.11973,3.3578,177.95781,277.21552,39.48564,1024.71558
2018-03-10-13:00:00,2.8481,-0.65066,2.44827,165.11693,275.61075,45.67896,1025.49304
2018-03-10-14:00:00,2.33628,-1.18159,1.53874,142.47963,274.00598,51.87227,1026.27063
2018-03-10-15:00:00,1.82445,-1.71251,0.62921,110.17433,272.40121,58.06559,1027.0481
2018-03-10-16:00:00,1.87327,-1.64607,-0.00147,89.94869,271.53256,62.16067,1026.99622
2018-03-10-17:00:00,1.92209,-1.57963,-0.63216,68.18893,270.66388,66.25575,1026.94434
2018-03-10-18:00:00,1.97091,-1.51318,-1.26284,50.15291,269.79523,70.35084,1026.89246
2018-03-10-19:00:00,1.61268,-0.72014,-0.91888,38.08643,269.65161,71.42484,1026.55347
2018-03-10-20:00:00,1.25444,0.0729,-0.57491,352.77332,269.50803,72.49886,1026.2146
2018-03-10-21:00:00,0.89621,0.86594,-0.23094,284.93307,269.36441,73.57286,1025.87561
2018-03-10-22:00:00,0.97837,0.92545,-0.30847,288.43451,270.45407,69.53984,1026.1123
2018-03-10-23:00:00,1.06053,0.98495,-0.386,291.40027,271.5437,65.50682,1026.34888
2018-03-11-00:00:00,1.02941,1.0032,-0.23083,282.9577,272.63562,59.51339,1026.64001
2018-03-11-01:00:00,1.29046,0.09646,0.0397,247.62766,274.53397,51.06321,1026.29895
2018-03-11-02:00:00,1.55151,-0.81027,0.31023,110.95066,276.43228,42.61302,1025.95789
2018-03-11-03:00:00,1.81257,-1.71701,0.58076,108.6877,278.33063,34.16284,1025.61682
2018-03-11-04:00:00,1.88572,-1.44184,0.99585,124.63213,279.55539,34.54936,1024.24951
2018-03-11-05:00:00,1.95887,-1.16667,1.41094,140.41353,280.78012,34.93589,1022.88226
2018-03-11-06:00:00,2.03203,-0.8915,1.82603,153.97751,282.00488,35.32241,1021.51501
2018-03-11-07:00:00,2.06232,-0.87386,1.86744,154.92297,282.01035,38.12115,1020.68671
2018-03-11-08:00:00,2.09262,-0.85622,1.90885,155.84129,282.01578,40.9199,1019.85834
2018-03-11-09:00:00,2.12292,-0.83858,1.95027,156.73318,282.02124,43.71864,1019.03003
2018-03-11-10:00:00,1.92545,-0.34072,1.76127,169.05128,281.14709,47.45934,1018.99188
2018-03-11-11:00:00,1.72799,0.15714,1.57228,185.70735,280.27298,51.20004,1018.9538
2018-03-11-12:00:00,1.53052,0.655,1.38328,205.33797,279.39883,54.94073,1018.91565
2018-03-11-13:00:00,1.60601,-0.13437,1.05228,172.72327,277.52969,65.61763,1018.95709
2018-03-11-14:00:00,1.68149,-0.92373,0.72127,127.98355,275.66058,76.29453,1018.99854
2018-03-11-15:00:00,1.75698,-1.71309,0.39026,102.83358,273.79144,86.97143,1019.03998
2018-03-11-16:00:00,1.66709,-1.40174,-0.16214,83.40192,273.22739,90.0519,1018.47205
2018-03-11-17:00:00,1.57719,-1.0904,-0.71454,56.76312,272.66336,93.13237,1017.90417
2018-03-11-18:00:00,1.4873,-0.77905,-1.26694,31.58772,272.0993,96.21284,1017.33624
2018-03-11-19:00:00,1.33343,-0.23857,-1.03969,12.92371,271.72467,96.03786,1016.61292
2018-03-11-20:00:00,1.17957,0.30191,-0.81244,339.61478,271.35007,95.86288,1015.88959
2018-03-11-21:00:00,1.0257,0.84238,-0.58519,304.78705,270.97543,95.6879,1015.16626
