DateTime,SPD10,DIR10,SLP,T2,RH2
2018-03-07-05:00:00,1.87,132,1021.2,273.95,45
2018-03-07-06:00:00,2.09,11,1020.6,274.65,44
2018-03-07-07:00:00,0.9,227,1020,274.75,43
2018-03-07-08:00:00,1.39,119,1019.7,274.95,44
2018-03-07-09:00:00,2.66,161,1019.7,275.55,44
2018-03-07-10:00:00,1.93,94,1020.8,274.95,45
2018-03-07-11:00:00,2.68,56,1022.4,274.05,48
2018-03-07-12:00:00,2.09,51,1023.8,273.25,50
2018-03-07-13:00:00,0.81,32,1024.9,272.25,55
2018-03-07-14:00:00,2.4,326,1026.2,272.45,52
2018-03-07-15:00:00,2.93,21,1026.9,271.15,56
2018-03-07-16:00:00,2.53,11,1027.6,271.15,57
2018-03-07-17:00:00,2.75,1,1028.2,271.35,53
2018-03-07-18:00:00,1.94,357,1028.5,270.15,53
2018-03-07-19:00:00,2.7,352,1028.6,269.75,51
2018-03-07-20:00:00,3.22,18,1028.7,269.95,46
2018-03-07-21:00:00,4.39,34,1029.1,270.75,37
2018-03-07-22:00:00,4.84,21,1029.3,270.45,34
2018-03-07-23:00:00,3.9,24,1030.1,270.45,32
2018-03-08-00:00:00,4.8,36,1030.5,272.35,27
2018-03-08-01:00:00,5.14,41,1030.9,274.25,24
2018-03-08-02:00:00,2.34,33,1031,275.95,21
2018-03-08-03:00:00,1.08,254,1030.6,278.05,19
2018-03-08-04:00:00,1.89,176,1029.5,278.05,20
2018-03-08-05:00:00,3.05,175,1028.2,279.45,18
2018-03-08-06:00:00,4.32,166,1026.9,280.35,17
2018-03-08-07:00:00,5.6,185,1026.3,280.25,21
2018-03-08-08:00:00,5.5,185,1025.8,279.95,25
2018-03-08-09:00:00,4.84,203,1025.6,279.75,27
2018-03-08-10:00:00,5.77,185,1024.7,279.15,28
2018-03-08-11:00:00,4.44,176,1025.3,277.95,32
2018-03-08-12:00:00,4.63,177,1025.8,277.45,34
2018-03-08-13:00:00,4.48,168,1026.2,276.65,35
2018-03-08-14:00:00,3.89,155,1026,276.35,34
2018-03-08-15:00:00,4.01,129,1025.6,275.35,37
2018-03-08-16:00:00,3.91,113,1025.2,272.45,49
2018-03-08-17:00:00,3.87,113,1025.1,272.15,52
2018-03-08-18:00:00,4.23,108,1024.6,270.95,60
2018-03-08-19:00:00,2.89,85,1024,269.55,65
2018-03-08-20:00:00,3.12,94,1023.8,269.65,63
2018-03-08-21:00:00,2.6,91,1023.3,268.95,67
2018-03-08-22:00:00,1.87,95,1022.8,268.85,67
2018-03-08-23:00:00,1.74,80,1022.5,268.75,69
2018-03-09-00:00:00,1.5,79,1022.6,270.55,62
2018-03-09-01:00:00,1.74,141,1022.3,272.45,50
2018-03-09-02:00:00,1.83,85,1021.3,273.55,45
2018-03-09-03:00:00,1.31,99,1020.1,275.45,39
2018-03-09-04:00:00,2.33,131,1018.7,276.85,34
2018-03-09-05:00:00,1.38,164,1017.2,278.55,33
2018-03-09-06:00:00,3.6,158,1015.5,280.65,30
2018-03-09-07:00:00,3.72,167,1014.2,281.95,29
2018-03-09-08:00:00,2.63,197,1013.4,282.15,29
2018-03-09-09:00:00,2.54,184,1013.1,282.05,29
2018-03-09-10:00:00,2.16,167,1013.1,281.65,31
2018-03-09-11:00:00,2.77,12,1013.4,276.75,40
2018-03-09-12:00:00,2.78,20,1013.5,276.45,41
2018-03-09-13:00:00,2.19,27,1013.7,276.65,42
2018-03-09-14:00:00,1.94,7,1014.2,275.75,45
2018-03-09-15:00:00,2.4,305,1014.3,276.15,44
2018-03-09-16:00:00,1.18,359,1014.4,274.85,46
2018-03-09-17:00:00,1.82,354,1014.5,274.15,49
2018-03-09-18:00:00,2.57,340,1015.1,273.55,53
2018-03-09-19:00:00,2.45,351,1015.1,272.95,56
2018-03-09-20:00:00,3.5,343,1015.3,272.85,59
2018-03-09-21:00:00,3.49,354,1015.6,272.65,60
2018-03-09-22:00:00,3.76,344,1016.2,273.65,56
2018-03-09-23:00:00,4.44,343,1016.6,273.95,54
2018-03-10-00:00:00,5.55,3,1017.5,276.95,44
2018-03-10-01:00:00,2.62,46,1018.6,279.65,33
2018-03-10-02:00:00,3.33,150,1019.7,280.45,35
2018-03-10-03:00:00,5.56,139,1019.6,282.45,31
2018-03-10-04:00:00,4.55,140,1019.5,283.65,29
2018-03-10-05:00:00,5.86,119,1018.8,284.45,28
2018-03-10-06:00:00,5.28,137,1018.1,284.95,28
2018-03-10-07:00:00,5.01,166,1017.8,285.35,27
2018-03-10-08:00:00,4.82,149,1017.5,285.35,27
2018-03-10-09:00:00,6.52,165,1017.7,284.25,30
2018-03-10-10:00:00,6.21,144,1018.2,283.15,34
2018-03-10-11:00:00,6.06,142,1019.2,280.85,37
2018-03-10-12:00:00,6.54,148,1020.1,278.75,40
2018-03-10-13:00:00,6.15,169,1021,277.65,37
2018-03-10-14:00:00,4.56,159,1021.7,277.15,40
2018-03-10-15:00:00,4.39,152,1022.3,275.95,49
2018-03-10-16:00:00,3.83,139,1022.7,275.35,50
2018-03-10-17:00:00,2.73,159,1022.8,274.35,54
2018-03-10-18:00:00,1.76,178,1022.4,273.95,52
2018-03-10-19:00:00,2.27,137,1021.9,274.85,40
2018-03-10-20:00:00,1.01,302,1021.5,272.05,59
2018-03-10-21:00:00,0.52,1,1021.7,272.25,61
2018-03-10-22:00:00,0.89,6,1021.8,271.55,64
2018-03-10-23:00:00,0.98,308,1022.2,271.45,65
2018-03-11-00:00:00,1.39,320,1022.4,274.75,51
2018-03-11-01:00:00,2.09,296,1022.3,276.45,39
2018-03-11-02:00:00,1.39,244,1022.1,277.75,32
2018-03-11-03:00:00,1.5,160,1021.4,277.65,31
2018-03-11-04:00:00,2.43,82,1020.5,277.75,32
2018-03-11-05:00:00,1.88,53,1019.5,278.65,31
2018-03-11-06:00:00,1.19,130,1018.2,279.55,29
2018-03-11-07:00:00,1.59,113,1017.4,279.65,29
2018-03-11-08:00:00,1.79,115,1016.4,279.95,30
2018-03-11-09:00:00,1.86,104,1015.9,280.45,32
2018-03-11-10:00:00,2.02,108,1015.8,280.25,34
2018-03-11-11:00:00,1.62,355,1015.8,279.25,31
2018-03-11-12:00:00,1.79,351,1015.9,278.55,33
2018-03-11-13:00:00,1.35,351,1015.8,278.65,32
2018-03-11-14:00:00,1.05,342,1015.6,278.55,34
2018-03-11-15:00:00,1.13,292,1015.2,278.65,34
2018-03-11-16:00:00,1.37,356,1014.6,277.85,39
2018-03-11-17:00:00,1.04,84,1014.2,278.25,38
2018-03-11-18:00:00,1.86,141,1013.6,278.15,63
2018-03-11-19:00:00,2.3,148,1012.7,277.35,67
2018-03-11-20:00:00,1.69,170,1012,276.25,73
2018-03-11-21:00:00,0.56,320,1011.6,275.15,52
2018-03-11-22:00:00,0.99,321,1011.4,274.35,53
2018-03-11-23:00:00,0.52,354,1011.2,274.05,54
2018-03-12-00:00:00,1.59,304,1011.4,276.45,49
2018-03-12-01:00:00,1.3,316,1011.4,278.35,43
2018-03-12-02:00:00,0.94,343,1010.7,280.45,36
2018-03-12-03:00:00,1.03,3,1009.9,282.05,32
2018-03-12-04:00:00,1.54,194,1008.9,282.95,31
2018-03-12-05:00:00,1.44,81,1007.9,283.75,30
2018-03-12-06:00:00,2.03,150,1006.6,284.35,31
2018-03-12-07:00:00,3.44,138,1005.9,285.05,34
2018-03-12-08:00:00,3.35,158,1005.3,285.45,34
2018-03-12-09:00:00,3.4,162,1005.2,285.35,36
2018-03-12-10:00:00,2.78,163,1005.6,284.75,38
2018-03-12-11:00:00,2.62,142,1005.9,284.85,39
2018-03-12-12:00:00,2.27,90,1006.3,281.75,50
2018-03-12-13:00:00,2.08,124,1006.5,281.75,51
2018-03-12-14:00:00,1.76,111,1006.2,281.05,54
2018-03-12-15:00:00,0.88,108,1006.3,280.35,60
2018-03-12-16:00:00,1.5,12,1006.1,277.65,65
2018-03-12-17:00:00,0.68,60,1005.9,277.05,67
2018-03-12-18:00:00,1.24,357,1005.9,276.75,68
2018-03-12-19:00:00,1.99,3,1005.5,276.15,67
2018-03-12-20:00:00,1.76,320,1005.3,275.75,66
2018-03-12-21:00:00,2.05,334,1005.2,275.55,67
2018-03-12-22:00:00,2.91,336,1005.1,275.75,68
2018-03-12-23:00:00,2.49,344,1005.4,275.35,70
2018-03-13-00:00:00,2.84,348,1005.8,277.75,62
2018-03-13-01:00:00,1.96,335,1006.2,281.05,50
