DateTime,SPD10,DIR10,SLP,T2,RH2,TD2
2018-03-09-10:00:00,2.16000,167.00000,1013.10000,281.65000,31.00000,265.47000
2018-03-09-11:00:00,2.77000,12.00000,1013.40000,276.75000,40.00000,264.36000
2018-03-09-12:00:00,2.78000,20.00000,1013.50000,276.45000,41.00000,264.41000
2018-03-09-13:00:00,2.19000,27.00000,1013.70000,276.65000,42.00000,264.90000
2018-03-09-14:00:00,1.94000,7.00000,1014.20000,275.75000,45.00000,264.97000
2018-03-09-15:00:00,2.40000,305.00000,1014.30000,276.15000,44.00000,265.04000
2018-03-09-16:00:00,1.18000,359.00000,1014.40000,274.85000,46.00000,264.42000
2018-03-09-17:00:00,1.82000,354.00000,1014.50000,274.15000,49.00000,264.59000
2018-03-09-18:00:00,2.57000,340.00000,1015.10000,273.55000,53.00000,265.04000
2018-03-09-19:00:00,2.45000,351.00000,1015.10000,272.95000,56.00000,266.00000
2018-03-09-20:00:00,3.50000,343.00000,1015.30000,272.85000,59.00000,266.52000
2018-03-09-21:00:00,3.49000,354.00000,1015.60000,272.65000,60.00000,266.52000
2018-03-09-22:00:00,3.76000,344.00000,1016.20000,273.65000,56.00000,265.85000
2018-03-09-23:00:00,4.44000,343.00000,1016.60000,273.95000,54.00000,265.66000
2018-03-10-00:00:00,5.55000,3.00000,1017.50000,276.95000,44.00000,265.78000
2018-03-10-01:00:00,2.62000,46.00000,1018.60000,279.65000,33.00000,264.49000
2018-03-10-02:00:00,3.33000,150.00000,1019.70000,280.45000,35.00000,265.98000
2018-03-10-03:00:00,5.56000,139.00000,1019.60000,282.45000,31.00000,266.18000
2018-03-10-04:00:00,4.55000,140.00000,1019.50000,283.65000,29.00000,266.36000
2018-03-10-05:00:00,5.86000,119.00000,1018.80000,284.45000,28.00000,266.61000
2018-03-10-06:00:00,5.28000,137.00000,1018.10000,284.95000,28.00000,267.05000
2018-03-10-07:00:00,5.01000,166.00000,1017.80000,285.35000,27.00000,266.92000
2018-03-10-08:00:00,4.82000,149.00000,1017.50000,285.35000,27.00000,266.92000
2018-03-10-09:00:00,6.52000,165.00000,1017.70000,284.25000,30.00000,267.34000
2018-03-10-10:00:00,6.21000,144.00000,1018.20000,283.15000,34.00000,268.02000
2018-03-10-11:00:00,6.06000,142.00000,1019.20000,280.85000,37.00000,267.07000
2018-03-10-12:00:00,6.54000,148.00000,1020.10000,278.75000,40.00000,266.18000
2018-03-10-13:00:00,6.15000,169.00000,1021.00000,277.65000,37.00000,264.17000
2018-03-10-14:00:00,4.56000,159.00000,1021.70000,277.15000,40.00000,264.73000
2018-03-10-15:00:00,4.39000,152.00000,1022.30000,275.95000,49.00000,266.26000
2018-03-10-16:00:00,3.83000,139.00000,1022.70000,275.35000,50.00000,265.97000
2018-03-10-17:00:00,2.73000,159.00000,1022.80000,274.35000,54.00000,266.04000
2018-03-10-18:00:00,1.76000,178.00000,1022.40000,273.95000,52.00000,265.17000
2018-03-10-19:00:00,2.27000,137.00000,1021.90000,274.85000,40.00000,262.63000
2018-03-10-20:00:00,1.01000,302.00000,1021.50000,272.05000,59.00000,265.76000
2018-03-10-21:00:00,0.52000,1.00000,1021.70000,272.25000,61.00000,266.34000
2018-03-10-22:00:00,0.89000,6.00000,1021.80000,271.55000,64.00000,266.23000
2018-03-10-23:00:00,0.98000,308.00000,1022.20000,271.45000,65.00000,266.31000
2018-03-11-00:00:00,1.39000,320.00000,1022.40000,274.75000,51.00000,265.67000
2018-03-11-01:00:00,2.09000,296.00000,1022.30000,276.45000,39.00000,263.76000
2018-03-11-02:00:00,1.39000,244.00000,1022.10000,277.75000,32.00000,262.40000
2018-03-11-03:00:00,1.50000,160.00000,1021.40000,277.65000,31.00000,261.91000
2018-03-11-04:00:00,2.43000,82.00000,1020.50000,277.75000,32.00000,262.40000
2018-03-11-05:00:00,1.88000,53.00000,1019.50000,278.65000,31.00000,262.80000
2018-03-11-06:00:00,1.19000,130.00000,1018.20000,279.55000,29.00000,262.75000
2018-03-11-07:00:00,1.59000,113.00000,1017.40000,279.65000,29.00000,262.83000
2018-03-11-08:00:00,1.79000,115.00000,1016.40000,279.95000,30.00000,263.53000
2018-03-11-09:00:00,1.86000,104.00000,1015.90000,280.45000,32.00000,264.81000
2018-03-11-10:00:00,2.02000,108.00000,1015.80000,280.25000,34.00000,265.42000
2018-03-11-11:00:00,1.62000,355.00000,1015.80000,279.25000,31.00000,263.33000
2018-03-11-12:00:00,1.79000,351.00000,1015.90000,278.55000,33.00000,263.51000
2018-03-11-13:00:00,1.35000,351.00000,1015.80000,278.65000,32.00000,263.21000
2018-03-11-14:00:00,1.05000,342.00000,1015.60000,278.55000,34.00000,263.89000
2018-03-11-15:00:00,1.13000,292.00000,1015.20000,278.65000,34.00000,263.98000
2018-03-11-16:00:00,1.37000,356.00000,1014.60000,277.85000,39.00000,265.04000
2018-03-11-17:00:00,1.04000,84.00000,1014.20000,278.25000,38.00000,265.06000
2018-03-11-18:00:00,1.86000,141.00000,1013.60000,278.15000,63.00000,271.70000
2018-03-11-19:00:00,2.30000,148.00000,1012.70000,277.35000,67.00000,271.77000
2018-03-11-20:00:00,1.69000,170.00000,1012.00000,276.25000,73.00000,271.88000
2018-03-11-21:00:00,0.56000,320.00000,1011.60000,275.15000,52.00000,266.29000
2018-03-11-22:00:00,0.99000,321.00000,1011.40000,274.35000,53.00000,265.79000
2018-03-11-23:00:00,0.52000,354.00000,1011.20000,274.05000,54.00000,265.76000
