DateTime,SPD10,DIR10,SLP,T2,RH2,TD2
2018-03-09-04:00:00,2.48000,155.00000,1018.60000,276.95000,39.00000,264.22000
2018-03-09-05:00:00,2.23000,141.00000,1017.10000,277.55000,37.00000,264.08000
2018-03-09-06:00:00,2.75000,150.00000,1015.40000,280.85000,33.00000,265.57000
2018-03-09-07:00:00,2.32000,187.00000,1014.10000,281.95000,32.00000,266.15000
2018-03-09-08:00:00,1.70000,214.00000,1013.30000,282.35000,32.00000,266.50000
2018-03-09-09:00:00,1.87000,180.00000,1012.90000,281.85000,33.00000,266.46000
2018-03-09-10:00:00,2.49000,5.00000,1013.00000,278.25000,39.00000,265.40000
2018-03-09-11:00:00,1.59000,19.00000,1013.30000,276.25000,44.00000,265.14000
2018-03-09-12:00:00,1.75000,28.00000,1013.30000,276.05000,45.00000,265.24000
2018-03-09-13:00:00,2.33000,33.00000,1013.60000,276.55000,44.00000,265.41000
2018-03-09-14:00:00,1.84000,11.00000,1014.00000,275.95000,46.00000,265.44000
2018-03-09-15:00:00,1.39000,303.00000,1014.10000,275.45000,49.00000,265.80000
2018-03-09-16:00:00,0.71000,4.00000,1014.20000,271.45000,60.00000,265.38000
2018-03-09-17:00:00,0.98000,352.00000,1014.40000,271.35000,62.00000,265.66000
2018-03-09-18:00:00,1.72000,353.00000,1014.90000,273.25000,56.00000,265.48000
2018-03-09-19:00:00,1.88000,5.00000,1015.00000,272.25000,60.00000,266.14000
2018-03-09-20:00:00,2.67000,358.00000,1015.20000,272.75000,61.00000,266.81000
2018-03-09-21:00:00,2.13000,356.00000,1015.60000,272.65000,61.00000,266.72000
2018-03-09-22:00:00,1.24000,338.00000,1016.10000,272.65000,60.00000,266.52000
2018-03-09-23:00:00,2.94000,351.00000,1016.60000,273.65000,58.00000,266.31000
2018-03-10-00:00:00,5.05000,8.00000,1017.40000,276.55000,47.00000,266.27000
2018-03-10-01:00:00,2.63000,55.00000,1018.40000,279.95000,36.00000,265.90000
2018-03-10-02:00:00,3.21000,144.00000,1019.60000,281.25000,36.00000,267.07000
2018-03-10-03:00:00,6.27000,149.00000,1019.50000,282.95000,33.00000,267.44000
2018-03-10-04:00:00,4.93000,145.00000,1019.40000,284.25000,30.00000,267.34000
2018-03-10-05:00:00,5.13000,131.00000,1018.70000,285.05000,31.00000,268.48000
2018-03-10-06:00:00,4.27000,164.00000,1018.00000,285.25000,32.00000,269.09000
2018-03-10-07:00:00,4.70000,169.00000,1017.70000,285.55000,31.00000,268.93000
2018-03-10-08:00:00,4.64000,163.00000,1017.30000,285.65000,31.00000,269.02000
2018-03-10-09:00:00,5.46000,175.00000,1017.60000,284.15000,35.00000,269.30000
2018-03-10-10:00:00,5.69000,157.00000,1018.10000,282.55000,40.00000,269.65000
2018-03-10-11:00:00,5.99000,146.00000,1019.00000,280.25000,43.00000,268.51000
2018-03-10-12:00:00,7.28000,157.00000,1020.00000,278.45000,45.00000,267.46000
2018-03-10-13:00:00,4.74000,180.00000,1020.90000,277.05000,44.00000,265.87000
2018-03-10-14:00:00,3.03000,184.00000,1021.50000,276.05000,46.00000,265.53000
2018-03-10-15:00:00,4.92000,160.00000,1022.10000,275.65000,53.00000,267.01000
2018-03-10-16:00:00,2.83000,175.00000,1022.60000,273.15000,61.00000,266.50000
2018-03-10-17:00:00,1.59000,189.00000,1022.60000,273.75000,58.00000,266.41000
2018-03-10-18:00:00,0.98000,248.00000,1022.30000,271.35000,66.00000,266.39000
2018-03-10-19:00:00,0.69000,16.00000,1021.80000,269.95000,72.00000,266.06000
2018-03-10-20:00:00,0.42000,337.00000,1021.40000,269.35000,75.00000,265.95000
2018-03-10-21:00:00,0.30000,17.00000,1021.60000,268.45000,79.00000,265.68000
2018-03-10-22:00:00,0.80000,13.00000,1021.60000,267.85000,80.00000,265.23000
2018-03-10-23:00:00,0.84000,295.00000,1022.10000,269.05000,77.00000,265.96000
2018-03-11-00:00:00,0.88000,338.00000,1022.20000,273.55000,61.00000,266.88000
2018-03-11-01:00:00,1.60000,314.00000,1022.20000,276.35000,43.00000,264.93000
2018-03-11-02:00:00,0.95000,32.00000,1021.90000,277.95000,37.00000,264.44000
2018-03-11-03:00:00,1.44000,115.00000,1021.30000,277.25000,37.00000,263.81000
2018-03-11-04:00:00,1.98000,148.00000,1020.30000,277.85000,36.00000,264.00000
2018-03-11-05:00:00,1.53000,84.00000,1019.40000,278.75000,34.00000,264.07000
2018-03-11-06:00:00,1.78000,123.00000,1018.10000,278.95000,33.00000,263.87000
2018-03-11-07:00:00,1.50000,107.00000,1017.20000,279.35000,33.00000,264.23000
2018-03-11-08:00:00,1.30000,120.00000,1016.30000,279.85000,34.00000,265.06000
2018-03-11-09:00:00,1.30000,113.00000,1015.80000,280.15000,36.00000,266.08000
2018-03-11-10:00:00,0.45000,204.00000,1015.60000,280.05000,38.00000,266.69000
2018-03-11-11:00:00,2.17000,358.00000,1015.70000,278.45000,37.00000,264.90000
2018-03-11-12:00:00,1.31000,15.00000,1015.80000,277.85000,39.00000,265.04000
2018-03-11-13:00:00,0.64000,354.00000,1015.60000,278.05000,39.00000,265.22000
2018-03-11-14:00:00,0.83000,319.00000,1015.40000,278.25000,39.00000,265.40000
2018-03-11-15:00:00,0.78000,311.00000,1015.10000,278.25000,40.00000,265.73000
2018-03-11-16:00:00,0.98000,4.00000,1014.50000,277.35000,45.00000,266.44000
2018-03-11-17:00:00,1.34000,23.00000,1014.00000,277.15000,45.00000,266.26000
2018-03-11-18:00:00,0.54000,350.00000,1013.40000,276.85000,46.00000,266.27000
2018-03-11-19:00:00,0.76000,206.00000,1012.60000,276.25000,55.00000,268.07000
2018-03-11-20:00:00,1.15000,2.00000,1011.90000,274.05000,56.00000,266.23000
2018-03-11-21:00:00,0.35000,298.00000,1011.50000,271.55000,64.00000,266.23000
2018-03-11-22:00:00,0.32000,339.00000,1011.30000,271.65000,64.00000,266.32000
2018-03-11-23:00:00,0.24000,214.00000,1011.10000,271.65000,65.00000,266.50000
2018-03-12-00:00:00,0.99000,358.00000,1011.30000,275.65000,55.00000,267.50000
2018-03-12-01:00:00,1.34000,3.00000,1011.30000,277.85000,50.00000,268.30000
2018-03-12-02:00:00,0.53000,67.00000,1010.50000,280.45000,42.00000,268.38000
2018-03-12-03:00:00,1.67000,109.00000,1009.70000,280.95000,38.00000,267.51000
2018-03-12-04:00:00,1.91000,120.00000,1008.70000,282.95000,35.00000,268.22000
2018-03-12-05:00:00,1.35000,169.00000,1007.70000,283.65000,35.00000,268.85000
2018-03-12-06:00:00,1.17000,224.00000,1006.50000,285.65000,33.00000,269.86000
2018-03-12-07:00:00,2.58000,152.00000,1005.80000,285.65000,37.00000,271.40000
2018-03-12-08:00:00,2.76000,189.00000,1005.20000,285.55000,39.00000,272.03000
2018-03-12-09:00:00,2.14000,185.00000,1005.00000,285.15000,40.00000,272.01000
2018-03-12-10:00:00,1.34000,190.00000,1005.50000,283.95000,44.00000,272.22000
2018-03-12-11:00:00,2.14000,181.00000,1005.70000,282.85000,48.00000,272.40000
2018-03-12-12:00:00,1.39000,85.00000,1006.20000,279.45000,57.00000,271.57000
2018-03-12-13:00:00,1.95000,124.00000,1006.30000,281.55000,56.00000,273.30000
2018-03-12-14:00:00,0.88000,85.00000,1006.10000,278.55000,64.00000,272.29000
2018-03-12-15:00:00,0.80000,356.00000,1006.20000,276.35000,72.00000,271.79000
2018-03-12-16:00:00,1.16000,7.00000,1006.00000,275.35000,75.00000,271.38000
2018-03-12-17:00:00,0.84000,6.00000,1005.80000,274.65000,75.00000,270.70000
2018-03-12-18:00:00,1.22000,9.00000,1005.70000,273.75000,81.00000,270.86000
2018-03-12-19:00:00,1.41000,347.00000,1005.30000,274.35000,76.00000,270.58000
2018-03-12-20:00:00,0.67000,319.00000,1005.20000,273.65000,76.00000,269.90000
2018-03-12-21:00:00,1.30000,350.00000,1005.00000,273.15000,79.00000,269.94000
2018-03-12-22:00:00,1.42000,338.00000,1005.00000,274.65000,72.00000,270.15000
2018-03-12-23:00:00,1.41000,360.00000,1005.20000,273.95000,75.00000,270.02000
2018-03-13-00:00:00,1.69000,348.00000,1005.70000,277.15000,65.00000,271.17000
2018-03-13-01:00:00,1.88000,347.00000,1006.00000,280.55000,54.00000,271.86000
2018-03-13-02:00:00,2.40000,359.00000,1005.80000,283.55000,46.00000,272.46000
2018-03-13-03:00:00,1.12000,350.00000,1005.50000,286.05000,40.00000,272.83000
2018-03-13-04:00:00,1.14000,78.00000,1004.80000,287.25000,35.00000,272.09000
2018-03-13-05:00:00,1.40000,145.00000,1004.30000,289.35000,29.00000,271.39000
2018-03-13-06:00:00,1.04000,163.00000,1003.20000,290.65000,30.00000,272.99000
2018-03-13-07:00:00,1.32000,207.00000,1002.70000,291.75000,27.00000,272.51000
2018-03-13-08:00:00,1.19000,218.00000,1002.60000,292.25000,26.00000,272.43000
2018-03-13-09:00:00,1.51000,184.00000,1002.70000,291.55000,27.00000,272.34000
2018-03-13-10:00:00,0.48000,236.00000,1003.20000,288.75000,33.00000,272.62000
2018-03-13-11:00:00,1.03000,75.00000,1003.60000,285.45000,41.00000,272.63000
2018-03-13-12:00:00,1.19000,135.00000,1004.40000,285.95000,40.00000,272.74000
2018-03-13-13:00:00,0.47000,31.00000,1005.00000,281.25000,52.00000,272.00000
2018-03-13-14:00:00,1.67000,11.00000,1005.20000,282.35000,53.00000,273.30000
2018-03-13-15:00:00,0.83000,360.00000,1005.30000,281.25000,53.00000,272.27000
2018-03-13-16:00:00,1.10000,7.00000,1005.50000,280.05000,58.00000,272.37000
2018-03-13-17:00:00,1.04000,355.00000,1006.10000,280.95000,57.00000,272.98000
2018-03-13-18:00:00,3.48000,117.00000,1006.50000,283.55000,66.00000,277.51000
2018-03-13-19:00:00,1.35000,154.00000,1005.90000,282.35000,74.00000,277.98000
2018-03-13-20:00:00,0.49000,334.00000,1005.40000,279.35000,80.00000,276.17000
2018-03-13-21:00:00,0.64000,272.00000,1005.40000,279.35000,82.00000,276.52000
2018-03-13-22:00:00,0.66000,259.00000,1005.50000,277.75000,89.00000,276.10000
2018-03-13-23:00:00,1.08000,322.00000,1006.00000,278.75000,90.00000,277.25000
2018-03-14-00:00:00,2.16000,159.00000,1006.20000,282.25000,76.00000,278.27000
2018-03-14-01:00:00,1.55000,117.00000,1006.30000,282.85000,72.00000,278.07000
2018-03-14-02:00:00,2.20000,159.00000,1005.90000,285.05000,62.00000,278.05000
2018-03-14-03:00:00,2.65000,139.00000,1005.70000,286.45000,58.00000,278.42000
