DateTime,SPD10,DIR10,SLP,T2,RH2,TD2
2018-03-05-15:00:00,3.51000,87.00000,1027.40000,271.95000,53.00000,264.42000
2018-03-05-16:00:00,4.21000,112.00000,1027.90000,271.35000,59.00000,265.09000
2018-03-05-17:00:00,3.00000,127.00000,1028.30000,271.15000,61.00000,265.28000
2018-03-05-18:00:00,2.03000,146.00000,1028.50000,271.05000,62.00000,265.38000
2018-03-05-19:00:00,0.65000,168.00000,1028.20000,270.15000,65.00000,265.06000
2018-03-05-20:00:00,2.21000,82.00000,1028.40000,270.35000,65.00000,265.25000
2018-03-05-21:00:00,2.11000,88.00000,1029.00000,270.25000,66.00000,265.33000
2018-03-05-22:00:00,1.51000,131.00000,1030.00000,269.45000,68.00000,264.91000
2018-03-05-23:00:00,1.97000,85.00000,1031.00000,270.35000,67.00000,265.60000
2018-03-06-00:00:00,2.53000,104.00000,1032.20000,270.95000,66.00000,266.01000
2018-03-06-01:00:00,4.12000,121.00000,1032.80000,272.35000,59.00000,266.04000
2018-03-06-02:00:00,4.05000,148.00000,1033.30000,273.25000,58.00000,265.93000
2018-03-06-03:00:00,2.78000,147.00000,1033.20000,275.05000,52.00000,266.20000
2018-03-06-04:00:00,3.57000,161.00000,1032.40000,275.65000,44.00000,264.58000
2018-03-06-05:00:00,2.55000,105.00000,1031.10000,276.15000,39.00000,263.49000
2018-03-06-06:00:00,3.90000,168.00000,1030.10000,277.45000,33.00000,262.53000
2018-03-06-07:00:00,5.35000,145.00000,1029.30000,277.45000,30.00000,261.32000
2018-03-06-08:00:00,5.35000,154.00000,1028.80000,277.15000,29.00000,260.62000
2018-03-06-09:00:00,7.33000,162.00000,1028.70000,276.85000,30.00000,260.79000
2018-03-06-10:00:00,7.38000,158.00000,1029.40000,275.45000,36.00000,261.83000
2018-03-06-11:00:00,7.18000,154.00000,1029.90000,273.95000,39.00000,261.48000
2018-03-06-12:00:00,6.73000,162.00000,1030.10000,273.55000,32.00000,258.65000
2018-03-06-13:00:00,5.39000,162.00000,1030.20000,273.15000,35.00000,259.40000
2018-03-06-14:00:00,3.68000,162.00000,1030.10000,272.75000,40.00000,261.95000
2018-03-06-15:00:00,3.63000,162.00000,1029.80000,272.35000,44.00000,262.66000
2018-03-06-16:00:00,4.30000,155.00000,1029.10000,271.55000,45.00000,262.17000
2018-03-06-17:00:00,2.85000,166.00000,1028.70000,270.85000,49.00000,262.48000
2018-03-06-18:00:00,2.29000,167.00000,1028.30000,270.55000,51.00000,262.65000
2018-03-06-19:00:00,2.90000,145.00000,1027.40000,270.85000,51.00000,262.94000
2018-03-06-20:00:00,3.35000,139.00000,1026.40000,270.85000,43.00000,261.00000
2018-03-06-21:00:00,3.05000,139.00000,1026.00000,270.65000,40.00000,260.01000
2018-03-06-22:00:00,3.59000,141.00000,1025.00000,270.55000,42.00000,260.46000
2018-03-06-23:00:00,2.78000,146.00000,1024.60000,270.35000,43.00000,260.54000
2018-03-07-00:00:00,3.94000,145.00000,1024.80000,270.85000,43.00000,261.00000
2018-03-07-01:00:00,2.74000,149.00000,1025.00000,271.45000,43.00000,261.56000
2018-03-07-02:00:00,2.41000,132.00000,1024.40000,271.65000,45.00000,262.26000
2018-03-07-03:00:00,2.02000,149.00000,1023.40000,272.65000,47.00000,263.69000
2018-03-07-04:00:00,2.32000,172.00000,1022.30000,273.65000,48.00000,263.86000
2018-03-07-05:00:00,1.35000,70.00000,1021.20000,273.85000,48.00000,264.04000
2018-03-07-06:00:00,3.24000,10.00000,1020.70000,275.25000,45.00000,264.51000
2018-03-07-07:00:00,0.86000,339.00000,1020.10000,275.05000,46.00000,264.61000
2018-03-07-08:00:00,0.89000,30.00000,1019.80000,275.05000,47.00000,264.88000
